// Disassembly at 0x4400 - 0x65af. (incomplete, see notes for complete disassembly)

rCode = 0x4400
rParam = 0x97f0

-ADDR-	DEC-INSTRC	HEX-INSTRC	DISASSEMBLY
0x4fb8	 336621577	0x14107009	.
0x4fbc	 805601290	0x3004800a	.
0x4fc0	   1868299	  0x1c820b	.
0x4fc4	      3116	     0xc2c	.
0x4fc8	 956596234	0x3904800a	.
0x4fcc	   2392587	  0x24820b	.
0x4fd0	      3040	     0xbe0	.
0x4fd4	 805601294	0x3004800e	.
0x4fd8	     33291	    0x820b	.
0x4fdc	      3072	     0xc00	.
0x4fe0	 537165842	0x20048012	.
0x4fe4	1627684874	0x6104800a	.
0x4fe8	   1868299	  0x1c820b	.
0x4fec	      3116	     0xc2c	.
0x4ff0	1711570954	0x6604800a	.
0x4ff4	   2392587	  0x24820b	.
0x4ff8	      3116	     0xc2c	.
0x4ffc	1459912718	0x5704800e	.
0x5000	  67436553	 0x4050009	.
0x5004	  67469331	 0x4058013	.
0x5008	  84148242	 0x5040012	.
0x500c	 201658377	 0xc051009	.
0x5010	  84148241	 0x5040011	.
0x5014	  84213775	 0x505000f	.
0x5018	  84934673	 0x5100011	.
0x501c	  68157458	 0x4100012	.
0x5020	 269776905	0x10147809	.
0x5024	     33291	    0x820b	.
0x5028	      2580	     0xa14	.
0x502c	        32	      0x20	.
0x5030	     33311	    0x821f	.
0x5034	       760	     0x2f8	.
0x5038	     33290	    0x820a	.
0x503c	         0	       0x0	.
0x5040	   1344011	  0x14820b	.
0x5044	      3200	     0xc80	.
0x5048	    360991	   0x5821f	.
0x504c	      1304	     0x518	.
0x5050	 202113552	 0xc0c0210	.
0x5054	    825866	   0xc9a0a	.
0x5058	       192	      0xc0	.
0x505c	   1868299	  0x1c820b	.
0x5060	      3188	     0xc74	.
0x5064	    825870	   0xc9a0e	.
0x5068	       192	      0xc0	.
0x506c	     33291	    0x820b	.
0x5070	      3200	     0xc80	.
0x5074	    825865	   0xc9a09	.
0x5078	         0	       0x0	.
0x507c	        32	      0x20	.
0x5080	     33290	    0x820a	.
0x5084	         0	       0x0	.
0x5088	    819723	   0xc820b	.
0x508c	      3272	     0xcc8	.
0x5090	    360991	   0x5821f	.
0x5094	      1304	     0x518	.
0x5098	 202113552	 0xc0c0210	.
0x509c	    825866	   0xc9a0a	.
0x50a0	4294966704	0xfffffdb0	.
0x50a4	   2654731	  0x28820b	.
0x50a8	      3260	     0xcbc	.
0x50ac	    825869	   0xc9a0d	.
0x50b0	       192	      0xc0	.
0x50b4	     33291	    0x820b	.
0x50b8	      3272	     0xcc8	.
0x50bc	    825865	   0xc9a09	.
0x50c0	4294966896	0xfffffe70	.
0x50c4	        32	      0x20	.
0x50c8	        32	      0x20	.
0x50cc	     33311	    0x821f	.
0x50d0	       744	     0x2e8	.
0x50d4	    262153	   0x40009	.
0x50d8	  17072145	 0x1048011	.
0x50dc	    294922	   0x4800a	.
0x50e0	    295435	   0x4820b	.
0x50e4	      3612	     0xe1c	.
0x50e8	    295433	   0x48209	.
0x50ec	        12	       0xc	.
0x50f0	    557577	   0x88209	.
0x50f4	        16	      0x10	.
0x50f8	    819721	   0xc8209	.
0x50fc	         8	       0x8	.
0x5100	    301578	   0x49a0a	.
0x5104	        59	      0x3b	.
0x5108	   1081867	  0x10820b	.
0x510c	      3516	     0xdbc	.
0x5110	    295455	   0x4821f	.
0x5114	      1304	     0x518	.
0x5118	    301578	   0x49a0a	.
0x511c	        11	       0xb	.
0x5120	   2654731	  0x28820b	.
0x5124	      3404	     0xd4c	.
0x5128	    295433	   0x48209	.
0x512c	         4	       0x4	.
0x5130	 134746633	 0x8081209	.
0x5134	    557594	   0x8821a	.
0x5138	        16	      0x10	.
0x513c	    301585	   0x49a11	.
0x5140	        15	       0xf	.
0x5144	 134486546	 0x8041a12	.
0x5148	        32	      0x20	.
0x514c	    825865	   0xc9a09	.
0x5150	        15	       0xf	.
0x5154	  67899913	 0x40c1209	.
0x5158	    819726	   0xc820e	.
0x515c	        12	       0xc	.
0x5160	    819739	   0xc821b	.
0x5164	         3	       0x3	.
0x5168	 134746633	 0x8081209	.
0x516c	    557594	   0x8821a	.
0x5170	        16	      0x10	.
0x5174	 201851410	 0xc080212	.
0x5178	    295433	   0x48209	.
0x517c	         4	       0x4	.
0x5180	 134486537	 0x8041a09	.
0x5184	    295433	   0x48209	.
0x5188	        12	       0xc	.
0x518c	  67899913	 0x40c1209	.
0x5190	    819740	   0xc821c	.
0x5194	         3	       0x3	.
0x5198	    819722	   0xc820a	.
0x519c	         0	       0x0	.
0x51a0	   1606155	  0x18820b	.
0x51a4	      3512	     0xdb8	.
0x51a8	    819721	   0xc8209	.
0x51ac	         8	       0x8	.
0x51b0	    825872	   0xc9a10	.
0x51b4	       255	      0xff	.
0x51b8	        32	      0x20	.
0x51bc	    825865	   0xc9a09	.
0x51c0	       255	      0xff	.
0x51c4	    819721	   0xc8209	.
0x51c8	         4	       0x4	.
0x51cc	 134746633	 0x8081209	.
0x51d0	    557594	   0x8821a	.
0x51d4	        16	      0x10	.
0x51d8	 135010825	 0x80c1a09	.
0x51dc	  67637769	 0x4081209	.
0x51e0	    557578	   0x8820a	.
0x51e4	        62	      0x3e	.
0x51e8	   1868299	  0x1c820b	.
0x51ec	      3608	     0xe18	.
0x51f0	    557582	   0x8820e	.
0x51f4	        62	      0x3e	.
0x51f8	    557578	   0x8820a	.
0x51fc	        15	       0xf	.
0x5200	   2130443	  0x20820b	.
0x5204	      3600	     0xe10	.
0x5208	    557577	   0x88209	.
0x520c	        15	       0xf	.
0x5210	 135010834	 0x80c1a12	.
0x5214	        32	      0x20	.
0x5218	        32	      0x20	.
0x521c	        32	      0x20	.
0x5220	     33289	    0x8209	.
0x5224	      1824	     0x720	.
0x5228	     33311	    0x821f	.
0x522c	       444	     0x1bc	.
0x5230	   2654729	  0x288209	.
0x5234	         0	       0x0	.
0x5238	     33289	    0x8209	.
0x523c	        10	       0xa	.
0x5240	 671351305	0x28040209	.
0x5244	    557321	   0x88109	.
0x5248	      1203	     0x4b3	.
0x524c	     33311	    0x821f	.
0x5250	       512	     0x200	.
0x5254	     33289	    0x8209	.
0x5258	        60	      0x3c	.
0x525c	     33311	    0x821f	.
0x5260	       512	     0x200	.
0x5264	     33289	    0x8209	.
0x5268	        66	      0x42	.
0x526c	    557321	   0x88109	.
0x5270	      2049	     0x801	.
0x5274	     33311	    0x821f	.
0x5278	       512	     0x200	.
0x527c	     33293	    0x820d	.
0x5280	         1	       0x1	.
0x5284	     33290	    0x820a	.
0x5288	        69	      0x45	.
0x528c	   2130443	  0x20820b	.
0x5290	      3692	     0xe6c	.
0x5294	     33289	    0x8209	.
0x5298	        74	      0x4a	.
0x529c	    557321	   0x88109	.
0x52a0	      2049	     0x801	.
0x52a4	     33311	    0x821f	.
0x52a8	       512	     0x200	.
0x52ac	     33293	    0x820d	.
0x52b0	         1	       0x1	.
0x52b4	     33290	    0x820a	.
0x52b8	        77	      0x4d	.
0x52bc	   2130443	  0x20820b	.
0x52c0	      3740	     0xe9c	.
0x52c4	     33289	    0x8209	.
0x52c8	        24	      0x18	.
0x52cc	    557321	   0x88109	.
0x52d0	      2080	     0x820	.
0x52d4	     33311	    0x821f	.
0x52d8	       512	     0x200	.
0x52dc	     33293	    0x820d	.
0x52e0	         1	       0x1	.
0x52e4	     33290	    0x820a	.
0x52e8	        34	      0x22	.
0x52ec	   2130443	  0x20820b	.
0x52f0	      3788	     0xecc	.
0x52f4	     33289	    0x8209	.
0x52f8	        48	      0x30	.
0x52fc	    557321	   0x88109	.
0x5300	      2080	     0x820	.
0x5304	     33311	    0x821f	.
0x5308	       512	     0x200	.
0x530c	     33293	    0x820d	.
0x5310	         1	       0x1	.
0x5314	     33290	    0x820a	.
0x5318	        58	      0x3a	.
0x531c	   2130443	  0x20820b	.
0x5320	      3836	     0xefc	.
0x5324	     33289	    0x8209	.
0x5328	        14	       0xe	.
0x532c	    557321	   0x88109	.
0x5330	      1082	     0x43a	.
0x5334	     33311	    0x821f	.
0x5338	       512	     0x200	.
0x533c	     33293	    0x820d	.
0x5340	         6	       0x6	.
0x5344	     33290	    0x820a	.
0x5348	        61	      0x3d	.
0x534c	   1868299	  0x1c820b	.
0x5350	      3884	     0xf2c	.
0x5354	     33289	    0x8209	.
0x5358	         1	       0x1	.
0x535c	    557321	   0x88109	.
0x5360	      1840	     0x730	.
0x5364	     33311	    0x821f	.
0x5368	       512	     0x200	.
0x536c	     33293	    0x820d	.
0x5370	         1	       0x1	.
0x5374	     33290	    0x820a	.
0x5378	         2	       0x2	.
0x537c	   2130443	  0x20820b	.
0x5380	      3932	     0xf5c	.
0x5384	     33289	    0x8209	.
0x5388	         3	       0x3	.
0x538c	    557321	   0x88109	.
0x5390	      3888	     0xf30	.
0x5394	     33311	    0x821f	.
0x5398	       512	     0x200	.
0x539c	     33293	    0x820d	.
0x53a0	         1	       0x1	.
0x53a4	     33290	    0x820a	.
0x53a8	         4	       0x4	.
0x53ac	   2130443	  0x20820b	.
0x53b0	      3980	     0xf8c	.
0x53b4	     33289	    0x8209	.
0x53b8	         5	       0x5	.
0x53bc	    557321	   0x88109	.
0x53c0	      3104	     0xc20	.
0x53c4	     33311	    0x821f	.
0x53c8	       512	     0x200	.
0x53cc	     33293	    0x820d	.
0x53d0	         1	       0x1	.
0x53d4	     33290	    0x820a	.
0x53d8	         6	       0x6	.
0x53dc	   2130443	  0x20820b	.
0x53e0	      4028	     0xfbc	.
0x53e4	     33289	    0x8209	.
0x53e8	         7	       0x7	.
0x53ec	    557321	   0x88109	.
0x53f0	      1056	     0x420	.
0x53f4	     33311	    0x821f	.
0x53f8	       512	     0x200	.
0x53fc	     33293	    0x820d	.
0x5400	         1	       0x1	.
0x5404	     33290	    0x820a	.
0x5408	         8	       0x8	.
0x540c	   2130443	  0x20820b	.
0x5410	      4076	     0xfec	.
0x5414	   2654733	  0x28820d	.
0x5418	         1	       0x1	.
0x541c	   2654730	  0x28820a	.
0x5420	        25	      0x19	.
0x5424	   1868299	  0x1c820b	.
0x5428	      3640	     0xe38	.
0x542c	        32	      0x20	.
0x5430	     33289	    0x8209	.
0x5434	      1824	     0x720	.
0x5438	     33311	    0x821f	.
0x543c	       444	     0x1bc	.
0x5440	     33033	    0x8109	.
0x5444	         0	       0x0	.
0x5448	    164105	   0x28109	.
0x544c	         1	       0x1	.
0x5450	     33311	    0x821f	.
0x5454	       412	     0x19c	.
0x5458	       528	     0x210	.
0x545c	     47625	    0xba09	.
0x5460	  74123091	 0x46b0753	.
0x5464	  67141645	 0x400800d	.
0x5468	     47625	    0xba09	.
0x546c	  74187893	 0x46c0475	.
0x5470	  67141645	 0x400800d	.
0x5474	     47625	    0xba09	.
0x5478	  73598060	 0x463046c	.
0x547c	  67141645	 0x400800d	.
0x5480	     47625	    0xba09	.
0x5484	  73663599	 0x464046f	.
0x5488	  67141645	 0x400800d	.
0x548c	     47625	    0xba09	.
0x5490	  69207141	 0x4200465	.
0x5494	  67141645	 0x400800d	.
0x5498	     47625	    0xba09	.
0x549c	  74385228	 0x46f074c	.
0x54a0	  67141645	 0x400800d	.
0x54a4	     47625	    0xba09	.
0x54a8	  73663585	 0x4640461	.
0x54ac	  67141645	 0x400800d	.
0x54b0	     47625	    0xba09	.
0x54b4	  74318953	 0x46e0469	.
0x54b8	  67141645	 0x400800d	.
0x54bc	     47625	    0xba09	.
0x54c0	  67109991	 0x4000467	.
0x54c4	  67141645	 0x400800d	.
0x54c8	     47625	    0xba09	.
0x54cc	  69207072	 0x4200420	.
0x54d0	     33311	    0x821f	.
0x54d4	       228	      0xe4	.
0x54d8	       554	     0x22a	.
0x54dc	    295433	   0x48209	.
0x54e0	         0	       0x0	.
0x54e4	     33026	    0x8102	.
0x54e8	       512	     0x200	.
0x54ec	       554	     0x22a	.
0x54f0	    262669	   0x4020d	.
0x54f4	    295434	   0x4820a	.
0x54f8	       512	     0x200	.
0x54fc	   1868299	  0x1c820b	.
0x5500	      4324	    0x10e4	.
0x5504	        32	      0x20	.
0x5508	     33311	    0x821f	.
0x550c	      5288	    0x14a8	.
0x5510	     33311	    0x821f	.
0x5514	        84	      0x54	.
0x5518	     33311	    0x821f	.
0x551c	       648	     0x288	.
0x5520	     33289	    0x8209	.
0x5524	 218169864	 0xd010208	.
0x5528	     33311	    0x821f	.
0x552c	       360	     0x168	.
0x5530	     33311	    0x821f	.
0x5534	      4144	    0x1030	.
0x5538	       528	     0x210	.
0x553c	    262665	   0x40209	.
0x5540	     39433	    0x9a09	.
0x5544	      1536	     0x600	.
0x5548	  67141645	 0x400800d	.
0x554c	     39433	    0x9a09	.
0x5550	       102	      0x66	.
0x5554	  67141645	 0x400800d	.
0x5558	4026570761	0xf0009809	.
0x555c	  67141645	 0x400800d	.
0x5560	  67115529	 0x4001a09	.
0x5564	  67141645	 0x400800d	.
0x5568	  67115529	 0x4001a09	.
0x556c	  67141645	 0x400800d	.
0x5570	     33311	    0x821f	.
0x5574	      3616	     0xe20	.
0x5578	     33311	    0x821f	.
0x557c	      5604	    0x15e4	.
0x5580	     33311	    0x821f	.
0x5584	      6120	    0x17e8	.
0x5588	 673710608	0x28280210	.
0x558c	 673972745	0x282c0209	.
0x5590	 741085705	0x2c2c1209	.
0x5594	     33289	    0x8209	.
0x5598	         1	       0x1	.
0x559c	 671351305	0x28040209	.
0x55a0	 738722313	0x2c080209	.
0x55a4	 403210773	0x18088215	.
0x55a8	     33311	    0x821f	.
0x55ac	       808	     0x328	.
0x55b0	 738722313	0x2c080209	.
0x55b4	 268993045	0x10088215	.
0x55b8	     33293	    0x820d	.
0x55bc	         2	       0x2	.
0x55c0	     33311	    0x821f	.
0x55c4	       808	     0x328	.
0x55c8	 738722313	0x2c080209	.
0x55cc	 134775317	 0x8088215	.
0x55d0	     33293	    0x820d	.
0x55d4	         2	       0x2	.
0x55d8	     33311	    0x821f	.
0x55dc	       808	     0x328	.
0x55e0	 738722313	0x2c080209	.
0x55e4	     33293	    0x820d	.
0x55e8	         2	       0x2	.
0x55ec	     33311	    0x821f	.
0x55f0	       808	     0x328	.
0x55f4	     33289	    0x8209	.
0x55f8	        12	       0xc	.
0x55fc	 671351305	0x28040209	.
0x5600	 738722313	0x2c080209	.
0x5604	    819721	   0xc8209	.
0x5608	        16	      0x10	.
0x560c	     33311	    0x821f	.
0x5610	       936	     0x3a8	.
0x5614	     33289	    0x8209	.
0x5618	        62	      0x3e	.
0x561c	 671351305	0x28040209	.
0x5620	 738722313	0x2c080209	.
0x5624	 738984457	0x2c0c0209	.
0x5628	   3965449	  0x3c8209	.
0x562c	        66	      0x42	.
0x5630	 738750985	0x2c087209	.
0x5634	     33311	    0x821f	.
0x5638	       576	     0x240	.
0x563c	     33293	    0x820d	.
0x5640	         1	       0x1	.
0x5644	 134775317	 0x8088215	.
0x5648	1006633482	0x3c00020a	.
0x564c	   1868299	  0x1c820b	.
0x5650	      4660	    0x1234	.
0x5654	   2916877	  0x2c820d	.
0x5658	         4	       0x4	.
0x565c	   3965453	  0x3c820d	.
0x5660	         4	       0x4	.
0x5664	 738750985	0x2c087209	.
0x5668	     33290	    0x820a	.
0x566c	        75	      0x4b	.
0x5670	   1868299	  0x1c820b	.
0x5674	      4660	    0x1234	.
0x5678	   2654733	  0x28820d	.
0x567c	         1	       0x1	.
0x5680	   2654730	  0x28820a	.
0x5684	        25	      0x19	.
0x5688	   1868299	  0x1c820b	.
0x568c	      4500	    0x1194	.
0x5690	     33311	    0x821f	.
0x5694	      1536	     0x600	.
0x5698	     33311	    0x821f	.
0x569c	      1128	     0x468	.
0x56a0	     33311	    0x821f	.
0x56a4	       228	      0xe4	.
0x56a8	    295433	   0x48209	.
0x56ac	        28	      0x1c	.
0x56b0	    301578	   0x49a0a	.
0x56b4	         0	       0x0	.
0x56b8	    295435	   0x4820b	.
0x56bc	      4832	    0x12e0	.
0x56c0	  67113503	 0x400121f	.
0x56c4	     32770	    0x8002	.
0x56c8	     98847	   0x1821f	.
0x56cc	      1304	     0x518	.
0x56d0	     98847	   0x1821f	.
0x56d4	      1088	     0x440	.
0x56d8	     33291	    0x820b	.
0x56dc	      4488	    0x1188	.
0x56e0	     33311	    0x821f	.
0x56e4	       660	     0x294	.
0x56e8	     98847	   0x1821f	.
0x56ec	      1304	     0x518	.
0x56f0	     98847	   0x1821f	.
0x56f4	      1088	     0x440	.
0x56f8	     33311	    0x821f	.
0x56fc	      1816	     0x718	.
0x5700	     33290	    0x820a	.
0x5704	         0	       0x0	.
0x5708	   1606155	  0x18820b	.
0x570c	      4472	    0x1178	.
0x5710	     33291	    0x820b	.
0x5714	      4752	    0x1290	.
0x5718	     33289	    0x8209	.
0x571c	        24	      0x18	.
0x5720	    266761	   0x41209	.
0x5724	    295434	   0x4820a	.
0x5728	4294967295	0xffffffff	.
0x572c	    295435	   0x4820b	.
0x5730	      5044	    0x13b4	.
0x5734	    295441	   0x48211	.
0x5738	2147483647	0x7fffffff	.
0x573c	    295434	   0x4820a	.
0x5740	         0	       0x0	.
0x5744	    295435	   0x4820b	.
0x5748	      5044	    0x13b4	.
0x574c	    819721	   0xc8209	.
0x5750	         0	       0x0	.
0x5754	     33289	    0x8209	.
0x5758	        24	      0x18	.
0x575c	     39437	    0x9a0d	.
0x5760	         4	       0x4	.
0x5764	     39434	    0x9a0a	.
0x5768	      4016	     0xfb0	.
0x576c	   2392587	  0x24820b	.
0x5770	      5268	    0x1494	.
0x5774	      4617	    0x1209	.
0x5778	     33293	    0x820d	.
0x577c	        64	      0x40	.
0x5780	    291337	   0x47209	.
0x5784	    295441	   0x48211	.
0x5788	  16711935	  0xff00ff	.
0x578c	    295442	   0x48212	.
0x5790	  67109888	 0x4000400	.
0x5794	  67140105	 0x4007a09	.
0x5798	    819725	   0xc820d	.
0x579c	         1	       0x1	.
0x57a0	    819722	   0xc820a	.
0x57a4	        20	      0x14	.
0x57a8	   2130443	  0x20820b	.
0x57ac	      4948	    0x1354	.
0x57b0	        32	      0x20	.
0x57b4	     39433	    0x9a09	.
0x57b8	        12	       0xc	.
0x57bc	   1081865	  0x108209	.
0x57c0	      7408	    0x1cf0	.
0x57c4	   1081869	  0x10820d	.
0x57c8	     17408	    0x4400	.
0x57cc	 268698121	0x10040209	.
0x57d0	    295441	   0x48211	.
0x57d4	        15	       0xf	.
0x57d8	    819721	   0xc8209	.
0x57dc	        16	      0x10	.
0x57e0	  67895822	 0x40c020e	.
0x57e4	    819729	   0xc8211	.
0x57e8	        15	       0xf	.
0x57ec	 202375693	 0xc10020d	.
0x57f0	    295433	   0x48209	.
0x57f4	         0	       0x0	.
0x57f8	   1081869	  0x10820d	.
0x57fc	        16	      0x10	.
0x5800	 268704265	0x10041a09	.
0x5804	   2130953	  0x208409	.
0x5808	 296629226	0x11ae33ea	.
0x580c	3781926562	0xe16b9ea2	.
0x5810	 370832541	0x161a749d	.
0x5814	4100533819	0xf4692e3b	.
0x5818	   1113097	  0x10fc09	.
0x581c	1640715937	0x61cb56a1	.
0x5820	2282019202	0x8804d982	.
0x5824	 907678707	0x361a13f3	.
0x5828	3561557531	0xd4490e1b	.
0x582c	 537951248	0x20107c10	.
0x5830	   1081869	  0x10820d	.
0x5834	        16	      0x10	.
0x5838	   1113097	  0x10fc09	.
0x583c	3897955274	0xe85613ca	.
0x5840	3242966668	0xc14bbe8c	.
0x5844	 909792445	0x363a54bd	.
0x5848	3561557531	0xd4490e1b	.
0x584c	 537951248	0x20107c10	.
0x5850	   1081869	  0x10820d	.
0x5854	       112	      0x70	.
0x5858	   1113097	  0x10fc09	.
0x585c	 538976288	0x20202020	.
0x5860	 538976288	0x20202020	.
0x5864	 538976288	0x20202020	.
0x5868	 538976288	0x20202020	.
0x586c	     33289	    0x8209	.
0x5870	         4	       0x4	.
0x5874	     39433	    0x9a09	.
0x5878	       128	      0x80	.
0x587c	  67141645	 0x400800d	.
0x5880	4278229001	0xff009809	.
0x5884	 469794825	0x1c008009	.
0x5888	     39433	    0x9a09	.
0x588c	      4888	    0x1318	.
0x5890	        32	      0x20	.
0x5894	     33289	    0x8209	.
0x5898	        28	      0x1c	.
0x589c	     39433	    0x9a09	.
0x58a0	         0	       0x0	.
0x58a4	        32	      0x20	.
0x58a8	     33289	    0x8209	.
0x58ac	     26112	    0x6600	.
0x58b0	         4	       0x4	.
0x58b4	   2130947	  0x208403	.
0x58b8	 986125130	0x3ac7134a	.
0x58bc	2117622666	0x7e385b8a	.
0x58c0	1773876455	0x69bb34e7	.
0x58c4	1345566354	0x5033b692	.
0x58c8	   1082377	  0x108409	.
0x58cc	3835485448	0xe49cdd08	.
0x58d0	 626029974	0x25507596	.
0x58d4	 848202269	0x328e8a1d	.
0x58d8	2539554945	0x975e8881	.
0x58dc	 537920528	0x20100410	.
0x58e0	 268467209	0x10007c09	.
0x58e4	1342210061	0x5000800d	.
0x58e8	 268467209	0x10007c09	.
0x58ec	 536903693	0x2000800d	.
0x58f0	 268467209	0x10007c09	.
0x58f4	1610645518	0x6000800e	.
0x58f8	 270533635	0x10200403	.
0x58fc	   1082377	  0x108409	.
0x5900	4184631899	0xf96c6a5b	.
0x5904	2489423265	0x946195a1	.
0x5908	2902401863	0xacff2347	.
0x590c	 554152117	0x2107b0b5	.
0x5910	 537920528	0x20100410	.
0x5914	 268467209	0x10007c09	.
0x5918	 268468237	0x1000800d	.
0x591c	 270533635	0x10200403	.
0x5920	   1082377	  0x108409	.
0x5924	1386827165	0x52a94d9d	.
0x5928	 344341847	0x14863d57	.
0x592c	2769698716	0xa5163f9c	.
0x5930	1750545076	0x685732b4	.
0x5934	 537920528	0x20100410	.
0x5938	 268467209	0x10007c09	.
0x593c	 268468237	0x1000800d	.
0x5940	 270533635	0x10200403	.
0x5944	   1082377	  0x108409	.
0x5948	1904909879	0x718a9e37	.
0x594c	1657915225	0x62d1c759	.
0x5950	 531540249	0x1faea919	.
0x5954	2314484855	0x89f43c77	.
0x5958	 537920528	0x20100410	.
0x595c	 268467209	0x10007c09	.
0x5960	 268468237	0x1000800d	.
0x5964	 270533635	0x10200403	.
0x5968	   1082377	  0x108409	.
0x596c	3077683328	0xb771b880	.
0x5970	2873561090	0xab471002	.
0x5974	2834377921	0xa8f12cc1	.
0x5978	  91958683	 0x57b2d9b	.
0x597c	 537920528	0x20100410	.
0x5980	 268467209	0x10007c09	.
0x5984	 536903693	0x2000800d	.
0x5988	 270533635	0x10200403	.
0x598c	   1082377	  0x108409	.
0x5990	 201823064	 0xc079358	.
0x5994	4047731608	0xf1437b98	.
0x5998	1944857960	0x73ec2d68	.
0x599c	3928019016	0xea20d048	.
0x59a0	 537920528	0x20100410	.
0x59a4	 268467209	0x10007c09	.
0x59a8	     33289	    0x8209	.
0x59ac	     26188	    0x664c	.
0x59b0	     64009	    0xfa09	.
0x59b4	      5668	    0x1624	.
0x59b8	     64013	    0xfa0d	.
0x59bc	     17408	    0x4400	.
0x59c0	     33289	    0x8209	.
0x59c4	        24	      0x18	.
0x59c8	     39433	    0x9a09	.
0x59cc	         0	       0x0	.
0x59d0	     33289	    0x8209	.
0x59d4	        28	      0x1c	.
0x59d8	     39433	    0x9a09	.
0x59dc	         0	       0x0	.
0x59e0	        32	      0x20	.
0x59e4	     33289	    0x8209	.
0x59e8	     26214	    0x6666	.
0x59ec	    290825	   0x47009	.
0x59f0	3741614097	0xdf048011	.
0x59f4	    294922	   0x4800a	.
0x59f8	   1606155	  0x18820b	.
0x59fc	      5664	    0x1620	.
0x5a00	 553711625	0x2100f809	.
0x5a04	     33289	    0x8209	.
0x5a08	     26188	    0x664c	.
0x5a0c	     29193	    0x7209	.
0x5a10	     33294	    0x820e	.
0x5a14	     17408	    0x4400	.
0x5a18	  68255762	 0x4118012	.
0x5a1c	       543	     0x21f	.
0x5a20	        32	      0x20	.
0x5a24	     33289	    0x8209	.
0x5a28	        24	      0x18	.
0x5a2c	     39434	    0x9a0a	.
0x5a30	         0	       0x0	.
0x5a34	   1606155	  0x18820b	.
0x5a38	      5944	    0x1738	.
0x5a3c	    295433	   0x48209	.
0x5a40	        25	      0x19	.
0x5a44	     33289	    0x8209	.
0x5a48	        66	      0x42	.
0x5a4c	    557321	   0x88109	.
0x5a50	      1793	     0x701	.
0x5a54	     33311	    0x821f	.
0x5a58	       608	     0x260	.
0x5a5c	     33293	    0x820d	.
0x5a60	         1	       0x1	.
0x5a64	     33290	    0x820a	.
0x5a68	        69	      0x45	.
0x5a6c	   2130443	  0x20820b	.
0x5a70	      5708	    0x164c	.
0x5a74	     33289	    0x8209	.
0x5a78	        62	      0x3e	.
0x5a7c	    557321	   0x88109	.
0x5a80	      2049	     0x801	.
0x5a84	     33311	    0x821f	.
0x5a88	       608	     0x260	.
0x5a8c	     33293	    0x820d	.
0x5a90	         1	       0x1	.
0x5a94	     33290	    0x820a	.
0x5a98	        64	      0x40	.
0x5a9c	   2130443	  0x20820b	.
0x5aa0	      5756	    0x167c	.
0x5aa4	    295438	   0x4820e	.
0x5aa8	         1	       0x1	.
0x5aac	    295434	   0x4820a	.
0x5ab0	         0	       0x0	.
0x5ab4	   1344011	  0x14820b	.
0x5ab8	      5700	    0x1644	.
0x5abc	   1081865	  0x108209	.
0x5ac0	      7408	    0x1cf0	.
0x5ac4	   1081869	  0x10820d	.
0x5ac8	     17408	    0x4400	.
0x5acc	 268698121	0x10040209	.
0x5ad0	    295441	   0x48211	.
0x5ad4	        15	       0xf	.
0x5ad8	    819721	   0xc8209	.
0x5adc	        16	      0x10	.
0x5ae0	  67895822	 0x40c020e	.
0x5ae4	    819729	   0xc8211	.
0x5ae8	        15	       0xf	.
0x5aec	 202375693	 0xc10020d	.
0x5af0	   1081869	  0x10820d	.
0x5af4	        48	      0x30	.
0x5af8	       528	     0x210	.
0x5afc	 268442121	0x10001a09	.
0x5b00	     33293	    0x820d	.
0x5b04	         4	       0x4	.
0x5b08	     39433	    0x9a09	.
0x5b0c	        96	      0x60	.
0x5b10	     33293	    0x820d	.
0x5b14	         4	       0x4	.
0x5b18	     39433	    0x9a09	.
0x5b1c	       255	      0xff	.
0x5b20	     33311	    0x821f	.
0x5b24	       228	      0xe4	.
0x5b28	     33289	    0x8209	.
0x5b2c	        28	      0x1c	.
0x5b30	     39433	    0x9a09	.
0x5b34	      6812	    0x1a9c	.
0x5b38	        32	      0x20	.
0x5b3c	     33289	    0x8209	.
0x5b40	        24	      0x18	.
0x5b44	    266761	   0x41209	.
0x5b48	    295441	   0x48211	.
0x5b4c	2147483648	0x80000000	.
0x5b50	    295434	   0x4820a	.
0x5b54	         0	       0x0	.
0x5b58	    295435	   0x4820b	.
0x5b5c	      6100	    0x17d4	.
0x5b60	   1081865	  0x108209	.
0x5b64	      7408	    0x1cf0	.
0x5b68	   1081869	  0x10820d	.
0x5b6c	     17408	    0x4400	.
0x5b70	 268698121	0x10040209	.
0x5b74	    295441	   0x48211	.
0x5b78	        15	       0xf	.
0x5b7c	    819721	   0xc8209	.
0x5b80	        16	      0x10	.
0x5b84	  67895822	 0x40c020e	.
0x5b88	    819729	   0xc8211	.
0x5b8c	        15	       0xf	.
0x5b90	 202375693	 0xc10020d	.
0x5b94	   1081869	  0x10820d	.
0x5b98	       144	      0x90	.
0x5b9c	   2130441	  0x208209	.
0x5ba0	        32	      0x20	.
0x5ba4	 540021763	0x20301403	.
0x5ba8	 806386704	0x30107c10	.
0x5bac	 807410697	0x30201c09	.
0x5bb0	     33289	    0x8209	.
0x5bb4	        24	      0x18	.
0x5bb8	     39437	    0x9a0d	.
0x5bbc	         1	       0x1	.
0x5bc0	     39434	    0x9a0a	.
0x5bc4	2147483904	0x80000100	.
0x5bc8	   2392587	  0x24820b	.
